Parallelization_method,Problem_scaling,Number_of_GPUs,Total_number_of_options,Number_of_paths,Init_time_ms,Execution_time_ms
threaded,weak,1,1048576,262144,118.629,2668.92
threaded,weak,1,1048576,262144,123.505,2692.28
threaded,weak,1,1048576,262144,113.109,2671.83
threaded,weak,1,1048576,262144,112.181,2672.8
threaded,weak,1,1048576,262144,121.298,2676.71
threaded,weak,1,33554432,262144,133.239,85423.1
streamed,weak,1,33554432,262144,9.57214,85408.6
streamed,weak,1,1048576,262144,9.55438,2688.74
threaded,weak,1,1048576,262144,123.265,2687.04
threaded,weak,1,1048576,262144,122.433,2674.07
streamed,weak,1,1048576,262144,30.9318,2693.26
threaded,weak,1,1048576,262144,207.607,2703.88
streamed,weak,1,1048576,262144,30.3814,2698.79
streamed,weak,1,33554432,262144,30.2852,85529.3
streamed,weak,1,1024,262144,26.1602,3.47677
streamed,weak,1,1024,262144,26.763,3.56459
threaded,weak,1,1048576,262144,124.353,2689.25
threaded,weak,1,1024,262144,118.821,3.43689
threaded,weak,1,1024,262144,118.836,3.27928
streamed,weak,1,1024,262144,5.04521,3.13016
streamed,weak,1,1048576,262144,9.4295,2692.08
streamed,weak,1,1048576,262144,8.78343,2672.53
threaded,weak,1,33554432,262144,122.605,85408.2
streamed,weak,1,1048576,262144,9.54153,2679.69
streamed,weak,1,1048576,262144,29.9557,2699.03
threaded,weak,1,1048576,262144,194.55,2671.78
threaded,weak,1,262144,262144,125.936,304.755
threaded,weak,1,262144,262144,120.823,268.263
threaded,weak,1,262144,262144,121.438,268.263
threaded,weak,1,262144,262144,120.085,268.171
threaded,weak,1,262144,262144,119.737,268.344
threaded,weak,1,262144,262144,119.316,268.032
streamed,weak,1,262144,262144,6.81626,268.284
streamed,weak,1,262144,262144,7.00696,268.188
streamed,weak,1,262144,262144,7.17149,268.198
streamed,weak,1,262144,262144,6.96286,268.237
streamed,weak,1,262144,262144,7.06853,268.249
streamed,weak,1,262144,262144,7.18976,268.294
threaded,strong,1,262144,262144,120.934,268.223
threaded,strong,1,262144,262144,119.309,268.217
threaded,strong,1,262144,262144,119.524,268.857
threaded,strong,1,262144,262144,121.032,268.316
threaded,strong,1,262144,262144,122.998,268.567
threaded,strong,1,262144,262144,119.822,268.155
streamed,strong,1,262144,262144,7.18044,268.169
streamed,strong,1,262144,262144,6.98512,268.173
streamed,strong,1,262144,262144,6.92616,268.182
streamed,strong,1,262144,262144,7.0845,268.537
streamed,strong,1,262144,262144,7.46748,268.167
streamed,strong,1,262144,262144,7.20582,268.15
threaded,weak,1,1048576,262144,118.919,1070.9
threaded,weak,1,1048576,262144,119.596,1079.48
threaded,weak,1,1048576,262144,119.406,1076.35
threaded,weak,1,1048576,262144,120.555,1076.87
threaded,weak,1,1048576,262144,120.231,1076.42
threaded,weak,1,1048576,262144,120.476,1076.23
streamed,weak,1,1048576,262144,7.56195,1077.31
streamed,weak,1,1048576,262144,7.06824,1081.34
streamed,weak,1,1048576,262144,7.31143,1078.07
streamed,weak,1,1048576,262144,7.05858,1084.53
streamed,weak,1,1048576,262144,6.96967,1082.36
streamed,weak,1,1048576,262144,7.3584,1084.15
threaded,strong,1,1048576,262144,120.256,1085.72
threaded,strong,1,1048576,262144,119.913,1085.06
threaded,strong,1,1048576,262144,120.556,1085.63
threaded,strong,1,1048576,262144,121.177,1085.15
threaded,strong,1,1048576,262144,119.731,1086.79
threaded,strong,1,1048576,262144,121.126,1087.27
streamed,strong,1,1048576,262144,7.32072,1086.06
streamed,strong,1,1048576,262144,7.09754,1088.12
streamed,strong,1,1048576,262144,7.03917,1091.53
streamed,strong,1,1048576,262144,6.9884,1098.45
streamed,strong,1,1048576,262144,7.09143,1093.4
streamed,strong,1,1048576,262144,7.28529,1094.7
threaded,weak,1,16777216,262144,118.332,17635.3
threaded,weak,1,16777216,262144,118.015,17766.8
threaded,weak,1,16777216,262144,118.548,17769.7
threaded,weak,1,16777216,262144,117.772,17803.5
threaded,weak,1,16777216,262144,117.955,17826.3
threaded,weak,1,16777216,262144,118.756,17820.4
streamed,weak,1,16777216,262144,7.32199,17837.2
streamed,weak,1,16777216,262144,7.27272,17823.9
streamed,weak,1,16777216,262144,7.1123,17850.6
streamed,weak,1,16777216,262144,7.29555,17841.7
streamed,weak,1,16777216,262144,7.27064,17839.2
streamed,weak,1,16777216,262144,7.2498,17846.9
threaded,strong,1,16777216,262144,119.745,17786.7
threaded,strong,1,16777216,262144,119.557,17823.6
threaded,strong,1,16777216,262144,119.254,17831.6
threaded,strong,1,16777216,262144,119.337,17850.3
threaded,strong,1,16777216,262144,118.253,17839.1
threaded,strong,1,16777216,262144,119.281,17837.7
streamed,strong,1,16777216,262144,7.19835,17850.8
streamed,strong,1,16777216,262144,7.17501,17838.8
streamed,strong,1,16777216,262144,7.16602,17843.6
streamed,strong,1,16777216,262144,7.33042,17847
streamed,strong,1,16777216,262144,7.07629,17847.8
streamed,strong,1,16777216,262144,7.03686,17824.2
threaded,weak,1,67108864,262144,122.697,71356
threaded,weak,1,67108864,262144,127.529,71342.1
threaded,weak,1,67108864,262144,125.537,71364.2
threaded,weak,1,67108864,262144,135.945,71610.7
threaded,weak,1,67108864,262144,124.022,72093.5
threaded,weak,1,67108864,262144,133.31,71393.1
streamed,weak,1,67108864,262144,7.17781,71367.2
streamed,weak,1,67108864,262144,7.53666,72694.6
streamed,weak,1,67108864,262144,7.42606,71388.2
streamed,weak,1,67108864,262144,7.42541,71395.2
streamed,weak,1,67108864,262144,7.50279,71359.7
streamed,weak,1,67108864,262144,7.45481,71343.6
threaded,strong,1,67108864,262144,123.033,71332.1
threaded,strong,1,67108864,262144,122.465,71333.9
threaded,strong,1,67108864,262144,122.915,71327.8
threaded,strong,1,67108864,262144,122.991,71349.5
threaded,strong,1,67108864,262144,123.198,71339.9
threaded,strong,1,67108864,262144,122.823,71344.7
streamed,strong,1,67108864,262144,7.30846,71354.6
streamed,strong,1,67108864,262144,7.43694,71338
streamed,strong,1,67108864,262144,7.04683,71350.7
streamed,strong,1,67108864,262144,7.24213,71412.6
streamed,strong,1,67108864,262144,7.2951,71456.1
streamed,strong,1,67108864,262144,7.46233,71350.2
threaded,weak,2,524288,262144,200.284,303.104
threaded,weak,2,524288,262144,193.21,277.126
threaded,weak,2,524288,262144,186.956,277.466
threaded,weak,2,524288,262144,192.172,276.892
threaded,weak,2,524288,262144,189.871,280.593
threaded,weak,2,524288,262144,205.523,278.922
streamed,weak,2,524288,262144,8.02798,288.726
streamed,weak,2,524288,262144,7.9899,285.978
streamed,weak,2,524288,262144,8.05436,288.818
streamed,weak,2,524288,262144,9.77418,286.153
streamed,weak,2,524288,262144,9.80583,286.748
streamed,weak,2,524288,262144,9.56499,307.902
threaded,strong,2,262144,262144,209.111,140.908
threaded,strong,2,262144,262144,189.01,141.534
threaded,strong,2,262144,262144,189.683,141.033
threaded,strong,2,262144,262144,187.471,140.633
threaded,strong,2,262144,262144,196.345,140.949
threaded,strong,2,262144,262144,186.681,140.615
streamed,strong,2,262144,262144,8.00257,144.686
streamed,strong,2,262144,262144,7.9865,144.061
streamed,strong,2,262144,262144,7.93595,143.902
streamed,strong,2,262144,262144,8.03086,144.408
streamed,strong,2,262144,262144,8.05133,145.368
streamed,strong,2,262144,262144,7.54806,144.179
threaded,weak,2,2097152,262144,190.444,1108.43
threaded,weak,2,2097152,262144,188.83,1109.33
threaded,weak,2,2097152,262144,224.473,1108.11
threaded,weak,2,2097152,262144,213.691,1110.87
threaded,weak,2,2097152,262144,201.204,1109.03
threaded,weak,2,2097152,262144,197.399,1111.55
streamed,weak,2,2097152,262144,9.6774,1148.44
streamed,weak,2,2097152,262144,9.64292,1149.68
streamed,weak,2,2097152,262144,9.51436,1145.35
streamed,weak,2,2097152,262144,9.56196,1145.09
streamed,weak,2,2097152,262144,7.75781,1146.97
streamed,weak,2,2097152,262144,9.2294,1148.06
threaded,strong,2,1048576,262144,199.871,554.727
threaded,strong,2,1048576,262144,200.093,554.159
threaded,strong,2,1048576,262144,201.962,560.149
threaded,strong,2,1048576,262144,201.791,556.786
threaded,strong,2,1048576,262144,202.545,555.983
threaded,strong,2,1048576,262144,224.822,556.196
streamed,strong,2,1048576,262144,7.73239,570.954
streamed,strong,2,1048576,262144,7.80708,572.682
streamed,strong,2,1048576,262144,7.913,573.91
streamed,strong,2,1048576,262144,8.00011,574.094
streamed,strong,2,1048576,262144,7.7375,573.137
streamed,strong,2,1048576,262144,8.06446,570.989
threaded,weak,2,33554432,262144,202.801,17876
threaded,weak,2,33554432,262144,187.256,17880.2
threaded,weak,2,33554432,262144,216.436,17946.6
threaded,weak,2,33554432,262144,201.624,18026
threaded,weak,2,33554432,262144,227.968,17944.8
threaded,weak,2,33554432,262144,189.039,17669.5
streamed,weak,2,33554432,262144,8.16644,18324.9
streamed,weak,2,33554432,262144,8.09656,18328.4
streamed,weak,2,33554432,262144,8.05796,18320.5
streamed,weak,2,33554432,262144,7.61455,18347
streamed,weak,2,33554432,262144,8.20023,18258.8
streamed,weak,2,33554432,262144,8.06226,18312.6
threaded,strong,2,16777216,262144,208.416,8889.78
threaded,strong,2,16777216,262144,186.169,8878.79
threaded,strong,2,16777216,262144,196.564,8866.23
threaded,strong,2,16777216,262144,185.309,8866.45
threaded,strong,2,16777216,262144,211.615,8863.87
threaded,strong,2,16777216,262144,188.123,8927.64
streamed,strong,2,16777216,262144,9.76862,9193.21
streamed,strong,2,16777216,262144,9.90382,9149.28
streamed,strong,2,16777216,262144,8.62251,9140.44
streamed,strong,2,16777216,262144,7.36914,9129.77
streamed,strong,2,16777216,262144,7.87547,9156.4
streamed,strong,2,16777216,262144,7.97448,9124.52
threaded,weak,2,134217728,262144,249.548,70969.6
threaded,weak,2,134217728,262144,194.002,70862.4
threaded,weak,2,134217728,262144,196.186,70977.3
threaded,weak,2,134217728,262144,219.105,70964
threaded,weak,2,134217728,262144,220.569,71021.1
threaded,weak,2,134217728,262144,191.746,70951.8
streamed,weak,2,134217728,262144,8.33302,72921.6
streamed,weak,2,134217728,262144,8.34051,72945.6
streamed,weak,2,134217728,262144,8.08712,75711.6
streamed,weak,2,134217728,262144,8.22147,72912.2
streamed,weak,2,134217728,262144,8.18583,72968.8
streamed,weak,2,134217728,262144,7.90672,73009.7
threaded,strong,2,67108864,262144,193.44,35570.5
threaded,strong,2,67108864,262144,196.192,35351.7
threaded,strong,2,67108864,262144,205.766,35593.4
threaded,strong,2,67108864,262144,202.389,35417
threaded,strong,2,67108864,262144,190.894,35283.2
threaded,strong,2,67108864,262144,201.002,35616.4
streamed,strong,2,67108864,262144,7.95452,36526.1
streamed,strong,2,67108864,262144,7.81682,36352.9
streamed,strong,2,67108864,262144,8.25884,36557.9
streamed,strong,2,67108864,262144,8.01288,36378.5
streamed,strong,2,67108864,262144,8.20461,36602.8
streamed,strong,2,67108864,262144,10.0687,36392.2
